link_id,interval_nVehContrib,interval_harmonicMeanSpeed
28413844,5064.0,58.55
508115745,4870.0,63.4083
508115768,3466.0,65.0667
508115808,3923.0,62.5083
508137802,3653.0,53.45
508479370#1,2716.0,62.6583
52286756#1,5803.0,63.9333
544296216-AddedOffRampEdge,3146.0,66.925
544296218#0,4870.0,58.8917
544296218#1-AddedOnRampEdge,5288.0,54.2
544296218#2,6635.0,53.05
619042896-AddedOffRampEdge,4455.0,62.65
619042916,3677.0,65.325
619042921,6096.0,63.275
619042924,4944.0,55.1167
849833093,3142.0,66.725
851550873,2727.0,67.025
851552197,2671.0,63.9639
