link_id,interval_nVehContrib
157607513#1,5528.0
172165117,4209.0
28414204#0,4829.0
301865758,3718.0
301865760,3906.0
30959001,1924.0
395439802,4523.0
395439805,4156.0
508479313#0,3428.0
508479317,4666.0
508479336,4145.0
508479355,4494.0
508479365#0,4079.0
508479370#0,3606.0
508479370#1,3768.0
509721010#0-AddedOnRampEdge,6082.0
687721970,3950.0
687721973,3530.0
850376107,3910.0
850378488,1909.0
850395062,4801.0
850746591,2788.0
851553864,4298.0
851555734,4934.0
851560451,4681.0
851568240,5208.0
867203204,3018.0
