link_id,interval_nVehContrib,interval_harmonicMeanSpeed
157607513#1,5764.0,41.925
172165117,4539.0,36.7083
28414204#0,4973.0,46.875
301865758,4030.0,56.1417
301865760,4251.0,60.4167
30959001,2016.0,66.2625
395439802,4913.0,58.6583
395439805,4394.0,60.4333
508479313#0,3765.0,44.125
508479317,4955.0,47.875
508479336,4121.0,43.0583
508479355,4864.0,55.9917
508479365#0,3972.0,61.3333
508479370#0,3546.0,59.5333
508479370#1,3669.0,60.4417
509721010#0-AddedOnRampEdge,6040.0,46.7583
687721970,3973.0,55.6
687721973,3982.0,58.2
850376107,4343.0,61.9125
850378488,2050.0,67.3917
850395062,4769.0,61.175
850746591,3181.0,64.3792
851553864,4601.0,59.075
851555734,5203.0,51.4833
851560451,4999.0,50.7417
851568240,5544.0,58.6333
867203204,2904.0,69.9167
