link_id,interval_nVehContrib
119271337,2679.0
119271346,5575.0
119271357,2482.0
123555214,801.0
123555236,2679.0
123592887#0,2967.0
123592887#1-AddedOffRampEdge,4113.0
123867439#1-AddedOnRampEdge,6187.0
123867446#1,5157.0
123867452,4144.0
123867453#0,3210.0
123867454,4177.0
124952169,4253.0
156778691,1639.0
157593042,4326.0
157607513#1,5764.0
157782133,5979.0
157782136#0,4413.0
157806285,5686.0
158623068#0,2791.0
172165117,4539.0
184867222#0,2595.0
184867243,2679.0
22372547,3462.0
22372559,3457.0
23798287,7763.0
23798288#1,6100.0
23807652#1,4129.0
23955194#0,3959.0
23955194#2,3246.0
24167679#1,3650.0
25029732#2,4276.0
25657136,3576.0
26230999#1,3684.0
27829301#1,5473.0
27829315#1-AddedOnRampEdge,5862.0
28317586#1,3001.0
28317945,4215.0
28319423#0,1401.0
28319423#1-AddedOffRampEdge,2149.0
28357482,1784.0
28357727#0,4103.0
28358874#1,8202.0
28358875#1,5101.0
28359059#1,6991.0
28378884#0,6296.0
28378888#1-AddedOnRampEdge,5731.0
28396115#1,4064.0
28414204#0,4973.0
28433582,5164.0
28433597,2641.0
28433666#1,4248.0
28433994#1,2898.0
28434077,2924.0
28435047,3203.0
28435048,2931.0
28435573,4279.0
28437104,2368.0
28437207,2196.0
28464668#1,5113.0
28665770#0,2678.0
301865758,4030.0
301865760,4251.0
30583337,2674.0
30959001,2016.0
326409095#1,3239.0
363634378,5575.0
367132265,2190.0
394385111,4728.0
394385113,5458.0
394385114#1,3535.0
394449801#0,3964.0
394449801#1,5466.0
395336990,2678.0
395337004,4624.0
395343763,1772.0
395354964#0,5925.0
395362577,2666.0
395368981#0,5302.0
395368986,4882.0
395394468,4582.0
395394473,5797.0
395439802,4913.0
395439805,4394.0
42397233,2937.0
479773092#0,5287.0
479773095,4713.0
479773098,4699.0
479773099,3083.0
5018717,2921.0
5018720,2782.0
508060359,3343.0
508060361,2563.0
508060362,2679.0
508115737#0,5850.0
508115745,4835.0
508115808,6387.0
508137802,4617.0
508479313#0,3765.0
508479317,4955.0
508479336,4121.0
508479355,4864.0
508479365#0,3972.0
508479370#0,3546.0
508479370#1,3669.0
509747240,5621.0
509747302,5586.0
509747310-AddedOnRampEdge,5634.0
509747346,4764.0
509747348,4156.0
509747381,4482.0
509747406-AddedOffRampEdge,7303.0
517168464,2365.0
52286756#1,6061.0
52324493,3723.0
544296216-AddedOffRampEdge,4666.0
544296218#0,4659.0
544296218#1-AddedOnRampEdge,5020.0
544296218#2,6495.0
544296221,5284.0
550271868,1458.0
550284581,5077.0
550284584-AddedOffRampEdge,5204.0
550284598,3365.0
550284602,3313.0
550284604,2858.0
550284605,4096.0
552389451,4848.0
552603210,4206.0
56159747,4191.0
60759806,3893.0
617235585#0,6240.0
617235594,5250.0
617235603,2799.0
617235606,3081.0
617235612,3760.0
617259141,4442.0
617259178,4714.0
617284141,6049.0
617284143,3233.0
617284144#0,2450.0
617284164,5743.0
617284166,5225.0
617284173,5403.0
617335302,5616.0
619042916,5396.0
619042921,6668.0
619042924,4730.0
687721970,3973.0
687721973,3982.0
687721986,3648.0
699542380#1,2554.0
711834658,5253.0
727202049,4622.0
838046085,3893.0
848429238,4110.0
848488831,4360.0
848489711,2158.0
848489712,2786.0
848501101#0,2530.0
848743564,4940.0
848745539#1,3428.0
848748038,2929.0
848748039,3809.0
848754158,2165.0
848767838,2988.0
848809833,4867.0
848818561,5330.0
848875024#0,4670.0
848880058,3272.0
848920992#0,3667.0
849677308#0,4624.0
849677308#1,4674.0
849696784,4108.0
849806971#0,3308.0
849818316,1991.0
849821064,1562.0
850026981,3935.0
850032296,5149.0
850057340#0,4968.0
850097346,3919.0
850098170,5824.0
850134421,2463.0
850376107,4343.0
850378488,2050.0
850395062,4769.0
850615423,3821.0
850746591,3181.0
850760258,2678.0
851520670,1901.0
851520671-AddedOffRampEdge,2674.0
851541351,2347.0
851544880,2532.0
851550873,3924.0
851552197,3189.0
851553864,4601.0
851555734,5203.0
851556422,3482.0
851560451,4999.0
851568240,5544.0
854162451,3532.0
854215625,6150.0
860646752-AddedOffRampEdge,4607.0
861059531,4317.0
863751890,7362.0
863754537,5992.0
867203204,2904.0
867204830-AddedOffRampEdge,4012.0
867208766,5277.0
867246178,5106.0
867247243,4542.0
867251845#0,3469.0
867256162#3,3134.0
867259033,2027.0
867262165#0,2219.0
8954447,3930.0
95265016#1,2621.0
