link_id,interval_nVehContrib,interval_harmonicMeanSpeed
119271213,1935.0,66.3
119271337,1933.0,66.4083
119271346,3509.0,67.5833
119271357,1294.0,65.6167
123555214,416.0,67.1417
123592887#0,4635.0,53.7667
123867439#1-AddedOnRampEdge,5206.0,62.9083
123867446#1,4073.0,62.1167
123867452,3204.0,64.3042
123867453#0,872.0,67.7583
123867454,4075.0,64.1083
124952169,1579.0,65.9389
156778691,2518.0,60.8375
157593042,2421.0,61.9417
157607513#1,6308.0,47.425
157782133,5029.0,61.1833
157782136#0,3967.0,65.5917
157806285,3672.0,64.8583
158623068#0,798.0,67.8917
172165117,2878.0,63.525
184867222#0,1446.0,66.0708
184867243,1933.0,66.4083
22372547,1119.0,66.2667
22372559,2357.0,65.3083
23798287,6682.0,63.2208
23798288#1,5627.0,65.8583
23807652#1,4591.0,61.0667
23955194#0,2390.0,65.675
23955194#2,1915.0,66.15
24167679#1,5975.0,58.4333
25657136,2295.0,67.65
26230999#1,1653.0,59.3667
27829301#1,2503.0,67.4833
28317586#1,2050.0,64.2333
28317945,4140.0,67.625
28319423#0,1277.0,64.5208
28319423#1-AddedOffRampEdge,1638.0,63.9667
28319423#2,892.0,67.3
28357386,5347.0,64.9083
28357482,763.0,67.25
28357727#0,1663.0,65.2333
28358874#1,7304.0,60.5417
28358875#1,2597.0,61.475
28359059#1,6195.0,67.7458
28378888#1-AddedOnRampEdge,4005.0,63.0417
28396115#1,2255.0,66.5083
28414204#0,3778.0,59.1583
28433582,4729.0,60.4792
28433597,1324.0,64.1833
28433666#1,4453.0,49.7333
28433994#1,1781.0,63.4708
28434077,3439.0,61.775
28435047,1684.0,64.6833
28435048,1355.0,64.0833
28435573,2464.0,64.8
28437104,3687.0,62.2
28437190#1,3827.0,65.1333
28437207,1979.0,64.8417
28464126#1,4471.0,61.8917
28464671-AddedOnRampEdge,2144.0,62.3833
28665770#0,1935.0,66.3
301865758,3308.0,64.825
30583337,1934.0,66.2833
30959001,1159.0,64.7625
363634378,3795.0,65.725
363648766#1-AddedOnRampEdge,2543.0,62.6833
367132265,792.0,68.45
394385111,3770.0,62.0917
394385113,6246.0,61.2583
394385114#1,3868.0,63.5333
394449801#0,4362.0,64.2042
395336990,1935.0,66.3
395337004,5028.0,61.4583
395343763,442.0,66.7167
395354964#0,5937.0,68.6167
395362577,3240.0,61.125
395368981#0,3475.0,66.4292
395368986,3199.0,71.6583
395394468,2965.0,60.7639
395394473,6489.0,55.0417
395439802,3219.0,66.4583
395439805,2521.0,67.8458
42397233,2340.0,66.0083
479773092#0,5248.0,60.55
479773095,2607.0,67.1333
479773098,1531.0,61.725
479773099,0.0,68.1
5018717,2638.0,42.775
5018720,2263.0,43.0833
508060359,1758.0,65.3417
508060361,2058.0,63.4
508115737#0,4305.0,65.8417
508115737#1,4318.0,64.3833
508115745,5020.0,62.7222
508115808,3718.0,62.85
508137802,3680.0,55.3
508479313#0,2879.0,58.9083
508479317,3498.0,67.2417
508479326,3435.0,64.7417
508479336,3228.0,62.1167
508479355,3950.0,58.0167
508479365#0,3262.0,66.1833
508479370#0,2719.0,63.0333
509747240,5915.0,65.3917
509747302,5190.0,55.7583
509747310-AddedOnRampEdge,5289.0,65.7417
509747346,5103.0,64.1
509747348,2599.0,65.9333
509747381,2701.0,65.775
509747406-AddedOffRampEdge,7013.0,70.9833
517168464,793.0,67.3167
52286756#1,6031.0,63.3
52324493,2282.0,62.3542
544296216-AddedOffRampEdge,3107.0,66.9583
544296218#0,4989.0,46.6
544296218#1-AddedOnRampEdge,5379.0,26.3667
544296218#2,6807.0,35.175
544296221,3303.0,65.3833
550271868,2004.0,63.1417
550284581,4480.0,63.3583
550284584-AddedOffRampEdge,4503.0,71.9917
550284598,3145.0,60.2083
550284602,3195.0,56.65
550284604,1517.0,65.325
550284605,1816.0,61.2
552389451,2976.0,61.3667
552603210,3423.0,66.6
56159747,2948.0,66.6375
60759806,766.0,64.6792
617235585#0,6561.0,62.775
617235594,2251.0,66.1833
617235603,3267.0,66.6583
617235606,2709.0,65.1042
617235612,1032.0,65.3417
617259141,3564.0,67.6667
617259170,2328.0,43.8833
617259178,2866.0,66.7917
617284141,4524.0,63.7
617284143,3417.0,66.575
617284144#0,1018.0,66.9667
617284145#0-AddedOnRampEdge,3833.0,64.4417
617284164,3901.0,67.8333
617284166,3155.0,62.9833
617284173,3809.0,65.4208
617335302,5197.0,63.5167
619042916,3895.0,65.5333
619042921,6432.0,65.6292
619042924,5014.0,44.3167
687721970,4224.0,60.1583
687721973,3771.0,67.2417
687721986,2098.0,65.8667
699542380#1,1661.0,65.0917
711834658,4516.0,63.2417
727202049,5027.0,61.3667
838046085,1586.0,67.7333
848429238,2748.0,65.325
848488831,3737.0,66.5667
848489711,641.0,67.2208
848489712,1093.0,63.6
848501101#0,742.0,68.2167
848745539#1,2336.0,65.1667
848748038,1168.0,66.8833
848748039,1374.0,64.2667
848754158,689.0,67.4333
848767838,2180.0,67.9667
848809833,3564.0,66.8
848818561,3798.0,60.7542
848875024#0,3106.0,66.7667
848880058,3741.0,64.8833
848920992#0,4523.0,61.0292
849677308#0,3122.0,55.475
849677308#1,3541.0,57.4333
849806971#0,3305.0,61.9917
849818316,2685.0,64.575
849821064,637.0,67.0917
849833093,3106.0,66.7667
850026981,2389.0,68.7583
850032296,5699.0,58.2667
850057340#0,3677.0,61.9417
850097346,1579.0,63.125
850098170,4118.0,65.35
850134421,1230.0,66.725
850376107,3921.0,67.7
850378488,979.0,66.7917
850395062,5721.0,59.6333
850615423,1952.0,64.275
850746591,2983.0,59.425
850760258,1935.0,66.3
851520671-AddedOffRampEdge,1325.0,59.925
851541351,1076.0,67.775
851544880,1137.0,67.4208
851550873,2651.0,67.1639
851552197,2683.0,62.9556
851553864,3478.0,61.975
851555734,4399.0,58.7417
851560451,3354.0,64.7083
851568240,5595.0,61.3333
851569274,917.0,56.1417
854162451,1523.0,64.5333
854215625,4862.0,63.475
860646752-AddedOffRampEdge,3931.0,69.575
861059531,2644.0,68.2833
863751890,6222.0,62.35
863754537,5105.0,62.2417
867203204,1868.0,69.4833
867208766,4775.0,67.2667
867246178,5607.0,64.3458
867247243,2993.0,64.6125
867251845#0,867.0,66.725
867256162#0,4243.0,60.5667
867256162#3,3375.0,64.775
867256163,5638.0,55.1083
867259033,2213.0,65.6
867262165#0,664.0,66.8458
8954447,2209.0,65.6833
95265016#1,1005.0,64.7833
